run,elapsed_s,state,raw_fd,raw_fd_position,max_raw_fd_position,dump_count,dump_bytes,rchar,wchar,read_bytes,write_bytes,signal
C3,1.510881,running,27,16781312,16781312,10,0,16967576,73232,0,94208,
C3,2.013393,running,27,59006976,59006976,10,0,59193240,73232,0,94208,
C3,2.51709,running,27,98017280,98017280,10,0,98203544,73232,0,94208,
C3,3.019933,running,27,140754944,140754944,10,0,140941208,73232,0,94208,
C3,3.522816,running,27,179720192,179720192,10,0,179906456,73232,0,94208,
C3,4.025659,running,27,220344320,220344320,10,0,220911512,73232,0,94208,
C3,4.531802,running,27,326520832,326520832,10,0,326997912,73232,0,94208,
C3,5.034332,running,27,409190400,409190400,10,0,409569176,73232,0,94208,
C3,5.537347,running,27,491978752,491978752,10,0,492423064,73232,0,94208,
C3,6.040064,running,27,573423616,573423616,10,0,573867928,73232,0,94208,
C3,6.543811,running,27,655908864,655908864,10,0,656353176,73232,0,94208,
C3,7.046656,running,27,738115584,738115584,10,0,738559896,73232,0,94208,
C3,7.550449,running,27,818200576,818200576,10,0,818644888,73232,0,94208,
C3,8.053291,running,27,898641920,898641920,10,0,899012504,73232,0,94208,
C3,8.557084,running,27,978239488,978239488,10,0,978749336,73232,0,94208,
C3,9.060232,running,27,1048772608,1048772608,10,0,1048958872,73232,0,94208,
C3,9.564814,running,27,1124438016,1124438016,10,0,1124849560,73232,0,94208,
C3,10.067457,running,27,1205248000,1205248000,10,0,1205659544,73232,0,94208,
C3,10.571276,running,27,1285107712,1285107712,10,0,1285552024,73232,0,94208,
C3,11.074127,running,27,1365147648,1365147648,10,0,1365526424,73232,0,94208,
C3,11.577317,running,27,1442484224,1442484224,10,0,1442961304,73232,0,94208,
C3,12.080549,running,27,1521410048,1521410048,10,0,1521821592,73232,0,94208,
C3,12.583989,running,27,1599582208,1599582208,10,0,1599993752,73232,0,94208,
C3,13.087038,running,27,1667305472,1667305472,10,0,1667684248,73232,0,94208,
C3,13.590605,running,27,1742532608,1742532608,10,0,1743009688,73232,0,94208,
C3,14.093603,running,27,1817055232,1817055232,10,0,1817434008,73232,0,94208,
C3,14.59666,running,27,1895403520,1895403520,10,0,1895847832,73232,0,94208,
C3,15.099504,running,27,1977507840,1977507840,10,0,1977952152,73232,0,94208,
C3,15.603497,running,27,2059255808,2059255808,10,0,2059700120,73232,0,94208,
C3,16.106486,running,27,2121510912,2121510912,10,0,2121824152,73232,0,94208,
C3,16.617994,running,27,2185498624,2185498624,10,0,2185848728,73232,0,94208,
C3,17.1202,running,27,2246303744,2246303744,10,0,2246686616,73232,0,94208,
C3,17.623895,running,27,2309820416,2309820416,10,0,2310133656,73232,0,94208,
C3,18.126084,running,27,2374778880,2374778880,10,0,2375092120,73232,0,94208,
C3,18.629443,running,27,2440077312,2440077312,10,0,2440427416,73232,0,94208,
C3,19.131593,running,27,2505498624,2505498624,10,0,2505815960,73232,0,94208,
C3,19.634375,running,27,2568806400,2568806400,10,0,2569217944,73232,0,94208,
C3,20.137371,running,27,2624450560,2624450560,10,0,2624796568,73232,0,94208,
C3,20.640693,running,27,2689306624,2689306624,10,0,2689681304,73232,0,94208,
C3,21.143012,running,27,2753732608,2753732608,10,0,2754111384,73232,0,94208,
C3,21.646287,running,27,2818220032,2818220032,10,0,2818664344,73232,0,94208,
C3,22.149519,running,27,2882465792,2882465792,10,0,2883073944,73232,0,94208,
C3,22.655524,running,27,2944176128,2944176128,10,0,2944587672,73232,0,94208,
C3,23.158495,running,27,3008024576,3008024576,10,212992,3008612248,286224,0,94208,
