scenario,phase,method,budget,n,mean_score,alarm_fraction,tracked_prn_min
ds3,established_pull_off,active_adaptive,3,24,-0.5763994539989857,0.16666666666666666,7
ds3,established_pull_off,active_adaptive,5,24,1.27803391520436,0.20833333333333334,7
ds3,established_pull_off,active_adaptive,9,24,4.962745032907524,0.25,7
ds3,established_pull_off,active_adaptive,16,24,8.783267722830983,0.25,7
ds3,established_pull_off,active_context,9,24,10.708492044035303,0.625,7
ds3,established_pull_off,active_magnitude,3,24,-11.145226161031394,0.0,7
ds3,established_pull_off,active_magnitude,5,24,-9.421689287986034,0.0,7
ds3,established_pull_off,active_magnitude,9,24,-9.126139559442862,0.0,7
ds3,established_pull_off,active_no_context,9,24,4.962745032907524,0.25,7
ds3,established_pull_off,analytic_two_source_glrt,187,24,73.34365560878967,1.0,7
ds3,established_pull_off,dense_nf,187,24,43.74459648080053,1.0,7
ds3,established_pull_off,dense_one_source_residual,187,24,77.00805841979837,1.0,7
ds3,established_pull_off,epl_3,3,24,42.93504373581795,0.375,7
ds3,established_pull_off,epl_3_complex,3,24,51.79813033640091,0.875,7
ds3,established_pull_off,fixed_9_delay_tap_complex,9,24,73.3966527804324,1.0,7
ds3,established_pull_off,fixed_delay_9,9,24,19.523206058612,1.0,7
ds3,established_pull_off,learned_fixed,3,24,-0.5763994539989857,0.16666666666666666,7
ds3,established_pull_off,learned_fixed,5,24,1.27803391520436,0.20833333333333334,7
ds3,established_pull_off,learned_fixed,9,24,5.240059325068433,0.25,7
ds3,established_pull_off,learned_fixed,16,24,11.802981308145219,0.25,7
ds3,established_pull_off,previous_acaf_r1_proxy,187,24,58.636436176269065,1.0,7
ds3,established_pull_off,prompt_magnitude_only,0,24,-21.652822063425265,0.0,7
ds3,established_pull_off,random_fixed,3,24,26.283368547511532,1.0,7
ds3,established_pull_off,random_fixed,5,24,44.77404641380659,0.9166666666666666,7
ds3,established_pull_off,random_fixed,9,24,40.76589515158872,1.0,7
ds3,established_pull_off,random_fixed,16,24,25.253805538152502,1.0,7
ds3,established_pull_off,raw_power_only,0,24,-73.71087527621758,0.0,7
ds3,established_pull_off,uniform_fixed,3,24,-1.802540808487424,0.16666666666666666,7
ds3,established_pull_off,uniform_fixed,5,24,2.588729906775568,0.20833333333333334,7
ds3,established_pull_off,uniform_fixed,9,24,8.384148907343894,0.25,7
ds3,established_pull_off,uniform_fixed,16,24,15.901123498601109,0.2916666666666667,7
ds3,injection_takeover,active_adaptive,3,24,-4.660798909947782,0.0,6
