window_mid_s,score_mean,score_quorum_offset_gate,score_low_quorum_persistence_gate,prn_count,base_high_fraction,low_high_fraction,low_high_fraction_roll3
95.5,1.256521161787334,4.013042323574668,4.196810401027157,10,0.5,0.5,0.5333333333333334
96.0,1.3147763306675844,4.129552661335168,4.5048561720908475,10,0.5,0.6,0.5666666666666668
96.5,1.0481984778265936,2.067477868957231,3.4265170571314147,10,0.2,0.3,0.4666666666666668
97.0,1.2016855047717523,3.3630339085891543,3.543146275573939,10,0.4,0.4,0.4333333333333335
97.5,1.2315030894103516,2.8704049430565624,3.7809059728600136,10,0.3,0.7,0.4666666666666668
98.0,1.0517544325114587,3.6035088650229175,3.773625827190349,10,0.5,0.5,0.5333333333333335
98.5,1.2895798373891025,4.0791596747782055,4.451103653096753,10,0.5,0.5,0.5666666666666669
99.0,1.1805892518601975,2.788942802976316,3.5037666034723696,10,0.3,0.3,0.4333333333333335
99.5,1.255697225163819,3.4602550052948744,3.64396815363913,10,0.4,0.5,0.4333333333333335
100.0,1.0290813813808088,3.0523464864854564,3.052346486485457,10,0.4,0.4,0.4000000000000002
100.5,1.0459468042601847,2.5735148868162954,3.2524340346190126,10,0.3,0.4,0.4333333333333335
101.0,1.2353283432160183,2.8765253491456293,3.423591017788833,10,0.3,0.4,0.4
101.5,1.209281224965229,3.918562449930458,3.737943701599444,10,0.5,0.6,0.46666666666666684
102.0,1.291669829103324,3.5250056923859834,4.083339658206649,10,0.4,0.5,0.5000000000000001
102.5,1.4080025474265234,3.1528040758824374,4.316005094853047,10,0.3,0.4,0.5000000000000001
103.0,1.2937647246084452,3.5287765042952017,3.901278467576328,10,0.4,0.5,0.4666666666666668
103.5,1.0647502996030649,3.6295005992061298,3.62950059920613,10,0.5,0.6,0.5000000000000001
104.0,1.1907935910307645,3.3434284638553766,3.8815871820615295,10,0.4,0.4,0.5000000000000001
104.5,1.3039948976385882,3.547190815749459,3.9210568021012717,10,0.4,0.4,0.46666666666666684
105.0,1.049446617198973,2.5791145875183568,1.049446617198973,10,0.3,0.3,0.36666666666666686
105.5,1.0265725100996705,3.553145020199341,3.0478305181794076,10,0.5,0.5,0.40000000000000013
106.0,1.1623094232137359,4.357080731070219,3.6471315515465568,10,0.6,0.6,0.4666666666666668
106.5,1.2005293583266963,3.9010587166533925,4.2611292977636195,10,0.5,0.6,0.5666666666666668
107.0,1.0700836905027908,3.1261506429050234,3.9828452064059543,10,0.4,0.5,0.5666666666666668
107.5,1.0461637487208848,3.0830947476975927,3.7620717473564964,10,0.4,0.5,0.5333333333333335
108.0,0.9728307325535221,2.95109531859634,3.4456614651070443,10,0.4,0.5,0.5
108.5,0.9671551717596397,2.4474482748154234,3.2698333320686377,10,0.3,0.4,0.4666666666666668
