pair_id,condition,bin_index,prn_count,absolute_centered_correlation,truth_direction_r2,signed_affine_slope,estimated_to_truth_spread_ratio,median_template_distance,partial_f_p_value,raw_spoof_alarm
ccfs-s3-a-sao-paulo,carrier-coupled,16,12,0.9629770270499343,0.9273247546259298,1.0605173366051672,1.1012903805753769,0.04418235781797895,6.673893979275369e-06,True
ccfs-s3-a-sao-paulo,carrier-coupled,17,11,0.8387358231137313,0.7034777809742684,0.8585345992109815,1.0236054971680464,0.040597775611679744,0.008916385109208436,True
ccfs-s3-a-sao-paulo,carrier-coupled,18,11,0.9000870716645849,0.8101567365777276,0.9577703609101859,1.0640863434899959,0.03947541494573914,0.002827650596426199,True
ccfs-s3-a-sao-paulo,carrier-coupled,19,11,0.9255704462662757,0.8566806510015528,1.0095333963459114,1.0907148131385784,0.04138049826395014,3.5625612561578744e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,20,11,0.9135445363363814,0.8345636198700541,0.9247769521262795,1.012295422218761,0.04548697483564973,0.0014227053042433781,True
ccfs-s3-a-sao-paulo,carrier-coupled,21,11,0.9339559798759388,0.872273772346025,1.1191850385230817,1.1983273972631425,0.04813345125292834,0.00046703661360372143,True
ccfs-s3-a-sao-paulo,carrier-coupled,22,11,0.9623090947811965,0.9260387938986059,1.031063787864935,1.0714476185007598,0.04690336427549797,6.486135551796675e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,23,11,0.9253871950850663,0.8563414608274065,1.1560751423654028,1.2492880261425385,0.0639900541879311,0.0005662935217955064,True
ccfs-s3-a-sao-paulo,carrier-coupled,24,11,0.9739170724759805,0.9485144640601842,1.1827360382179175,1.2144114438933271,0.05486276055360251,1.2112145925516982e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,25,11,0.9479022180215426,0.8985186149301602,1.2259654292115891,1.2933458809395115,0.07102318153441872,6.483361434457575e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,26,11,0.9611637194164726,0.9238356955225077,1.1955984149566763,1.2439071417328675,0.07374169780643654,2.391988588198556e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,27,11,0.9669535081196486,0.9349990868648954,1.1020739688712438,1.1397383220775037,0.07614365626571537,1.7747146512880304e-05,True
ccfs-s3-a-sao-paulo,carrier-coupled,28,11,0.9711357213557162,0.9431045892930874,1.1329162578288663,1.1665890080197057,0.0742160073059358,4.009323046338677e-06,True
ccfs-s3-a-sao-paulo,carrier-coupled,29,11,0.9747502536305155,0.9501380569527542,1.107804702892914,1.1365010665725188,0.06022905083307352,4.9193239236128446e-06,True
ccfs-s3-a-sao-paulo,doppler-locked,12,11,0.7780477978450079,0.6053583757314662,0.781103477756212,1.003927367855378,0.03526027833995893,0.012991508229737781,True
ccfs-s3-a-sao-paulo,doppler-locked,13,11,0.7637557518561464,0.5833228484933475,0.86950393816467,1.138458121004686,0.036804071452941,0.032791438684216696,True
ccfs-s3-a-sao-paulo,doppler-locked,14,11,0.8899570469543933,0.7920235454237842,0.9484770839210319,1.0657560240316155,0.03842496156453991,0.0001349165853533582,True
ccfs-s3-a-sao-paulo,doppler-locked,15,11,0.7646318328764526,0.5846618398480035,0.9340638234731253,1.2215863678592742,0.0388822431099116,0.0018761011628898071,True
ccfs-s3-a-sao-paulo,doppler-locked,16,11,0.9026129354355247,0.8147101112155346,0.9952345739056792,1.1026150134060102,0.035537607086696454,0.0006652777646489855,True
ccfs-s3-a-sao-paulo,doppler-locked,17,11,0.7449324276588554,0.5549243217777158,0.6834368369449185,0.9174480953833588,0.0348324497810235,0.04181209626592545,True
ccfs-s3-a-sao-paulo,doppler-locked,18,11,0.8863627489489805,0.7856389227243934,0.8587891368510492,0.9688912782823657,0.034687437903555954,0.008915512196676348,True
ccfs-s3-a-sao-paulo,doppler-locked,19,11,0.9291510362614688,0.8633216481857613,0.9110260588137584,0.9804929696676246,0.03511124970279887,0.0005073861504597399,True
ccfs-s3-a-sao-paulo,doppler-locked,20,11,0.7585505041822146,0.5753988673950919,0.7552850480398487,0.9956951368111128,0.036767638425926785,0.037047470395535964,True
ccfs-s3-a-sao-paulo,doppler-locked,21,11,0.8451135015486606,0.714216830499838,0.9659902828352271,1.1430302332941804,0.03546661468233592,0.020007098929193633,True
ccfs-s3-a-sao-paulo,doppler-locked,22,11,0.7729419852079022,0.597439312497133,0.7629876139075362,0.987121450909814,0.03494714086068332,0.009051336095404093,True
