awgn_seed,case_id,complex_scalar_imag,complex_scalar_real,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
20260837,TEXBAT.cleanStatic.single.18,,,AWGN_TAP_DOMAIN,-12.720481482800096,0.35,-70.0,TEXBAT.cleanStatic,878.5642463797703,891.2847278625704,2059714.9100929415,True,19
,TEXBAT.cleanStatic.single.19,0.0,1.093350546750196,GAIN_RMS_MATCHED,-23.101598234730773,-0.35,-75.0,TEXBAT.cleanStatic,466.86879605799913,489.9703942927299,,True,30
20260848,TEXBAT.cleanStatic.single.19,,,AWGN_TAP_DOMAIN,-10.280739768408239,0.25,45.0,TEXBAT.cleanStatic,466.86879605799913,477.1495358264074,781582.6110680796,True,30
,TEXBAT.cleanStatic.single.20,0.0,1.0407534484406133,GAIN_RMS_MATCHED,-23.169747928506695,-0.35,-75.0,TEXBAT.cleanStatic,547.7133085834794,570.8830565119861,,False,3
20260821,TEXBAT.cleanStatic.single.20,,,AWGN_TAP_DOMAIN,-16.767560268286616,-0.35,0.0,TEXBAT.cleanStatic,547.7133085834794,564.480868851766,1286544.1762400873,False,3
,TEXBAT.cleanStatic.single.21,0.0,1.422792280156987,GAIN_RMS_MATCHED,-23.015544419467915,-0.35,-75.0,TEXBAT.cleanStatic,112.16942485840991,135.18496927787783,,False,13
20260831,TEXBAT.cleanStatic.single.21,,,AWGN_TAP_DOMAIN,-10.747819814831018,0.35,-45.0,TEXBAT.cleanStatic,112.16942485840991,122.91724467324093,612850.0768517902,False,13
,TEXBAT.cleanStatic.single.22,0.0,1.2186553889305425,GAIN_RMS_MATCHED,-23.131870570592582,-0.35,-75.0,TEXBAT.cleanStatic,1457.723193938844,1480.8550645094365,,False,16
20260834,TEXBAT.cleanStatic.single.22,,,AWGN_TAP_DOMAIN,-15.553811135701835,0.3,65.0,TEXBAT.cleanStatic,1457.723193938844,1473.2770050745457,2523005.9013570054,False,16
,TEXBAT.cleanStatic.single.23,0.0,1.109618754457612,GAIN_RMS_MATCHED,-23.15326478087809,-0.35,-75.0,TEXBAT.cleanStatic,1010.3825481007807,1033.5358128816588,,True,19
20260837,TEXBAT.cleanStatic.single.23,,,AWGN_TAP_DOMAIN,-10.91790235042572,0.0,20.0,TEXBAT.cleanStatic,1010.3825481007807,1021.3004504512064,1672997.5783325091,True,19
,TEXBAT.cleanStatic.single.24,0.0,1.039939623094536,GAIN_RMS_MATCHED,-23.151913201087154,-0.35,-75.0,TEXBAT.cleanStatic,464.0431637968868,487.19507699797396,,False,30
20260848,TEXBAT.cleanStatic.single.24,,,AWGN_TAP_DOMAIN,-15.08825504872948,0.35,-40.0,TEXBAT.cleanStatic,464.0431637968868,479.1314188456163,512593.76704587846,False,30
,TEXBAT.cleanStatic.single.25,0.0,1.3451505942020285,GAIN_RMS_MATCHED,-17.508005866984604,-0.35,-75.0,TEXBAT.cleanStatic,291.4200874986709,308.9280933656555,,True,3
20260821,TEXBAT.cleanStatic.single.25,,,AWGN_TAP_DOMAIN,-11.058728604606586,0.35,30.0,TEXBAT.cleanStatic,291.4200874986709,302.4788161032775,5951764.552731584,True,3
,TEXBAT.cleanStatic.single.26,0.0,1.2110593651045363,GAIN_RMS_MATCHED,-23.137666193884797,-0.35,-75.0,TEXBAT.cleanStatic,378.81049645040184,401.94816264428664,,True,13
20260831,TEXBAT.cleanStatic.single.26,,,AWGN_TAP_DOMAIN,-15.498141650576144,-0.075,35.0,TEXBAT.cleanStatic,378.81049645040184,394.308638100978,3308636.301244109,True,13
,TEXBAT.cleanStatic.single.27,0.0,1.1042527145617889,GAIN_RMS_MATCHED,-23.167401494109072,-0.35,-75.0,TEXBAT.cleanStatic,2675.9957963521592,2699.1631978462683,,True,16
20260834,TEXBAT.cleanStatic.single.27,,,AWGN_TAP_DOMAIN,-13.060282188933343,0.05,70.0,TEXBAT.cleanStatic,2675.9957963521592,2689.0560785410926,1988217.3281974653,True,16
