attack_label,attack_metric,budget,mask,number,selection_role,synthetic_teacher_spearman
NOT_USED_FOR_RANKING,,5,"[93,57,58,99,129]",2,SYNTHETIC_VALIDATION_ONLY,0.9771700805221641
NOT_USED_FOR_RANKING,,5,"[93,4,17,150,175]",3,SYNTHETIC_VALIDATION_ONLY,0.9683399751818991
NOT_USED_FOR_RANKING,,5,"[93,12,40,80,155]",4,SYNTHETIC_VALIDATION_ONLY,0.9772515319984038
NOT_USED_FOR_RANKING,,5,"[93,31,96,150,161]",5,SYNTHETIC_VALIDATION_ONLY,0.9613559210849992
NOT_USED_FOR_RANKING,,5,"[93,31,101,137,164]",6,SYNTHETIC_VALIDATION_ONLY,0.9628668733019553
NOT_USED_FOR_RANKING,,5,"[93,73,74,128,175]",7,SYNTHETIC_VALIDATION_ONLY,0.9566011228277327
NOT_USED_FOR_RANKING,,5,"[93,39,53,74,118]",8,SYNTHETIC_VALIDATION_ONLY,0.9568378240976105
NOT_USED_FOR_RANKING,,5,"[93,7,35,104,111]",9,SYNTHETIC_VALIDATION_ONLY,0.9617314725224265
NOT_USED_FOR_RANKING,,5,"[93,44,69,102,174]",10,SYNTHETIC_VALIDATION_ONLY,0.9723764698164883
NOT_USED_FOR_RANKING,,5,"[93,4,9,10,104]",11,SYNTHETIC_VALIDATION_ONLY,0.9741082703314364
NOT_USED_FOR_RANKING,,5,"[93,1,14,107,109]",12,SYNTHETIC_VALIDATION_ONLY,0.9620955442215917
NOT_USED_FOR_RANKING,,5,"[93,35,47,67,172]",13,SYNTHETIC_VALIDATION_ONLY,0.937762325685641
NOT_USED_FOR_RANKING,,5,"[93,50,77,81,125]",14,SYNTHETIC_VALIDATION_ONLY,0.973122652803516
NOT_USED_FOR_RANKING,,5,"[93,63,90,168,171]",15,SYNTHETIC_VALIDATION_ONLY,0.9435153145174957
NOT_USED_FOR_RANKING,,5,"[93,110,117,148,184]",16,SYNTHETIC_VALIDATION_ONLY,0.9262246420781606
NOT_USED_FOR_RANKING,,5,"[93,144,148,160,162]",17,SYNTHETIC_VALIDATION_ONLY,0.9687450459462857
NOT_USED_FOR_RANKING,,5,"[93,29,59,62,155]",18,SYNTHETIC_VALIDATION_ONLY,0.9736058951189246
NOT_USED_FOR_RANKING,,5,"[93,34,81,99,151]",19,SYNTHETIC_VALIDATION_ONLY,0.8845094598509821
NOT_USED_FOR_RANKING,,5,"[93,14,126,131,174]",20,SYNTHETIC_VALIDATION_ONLY,0.9771755470641935
NOT_USED_FOR_RANKING,,5,"[93,33,100,135,160]",21,SYNTHETIC_VALIDATION_ONLY,0.9612290973099148
NOT_USED_FOR_RANKING,,5,"[93,16,36,156,179]",22,SYNTHETIC_VALIDATION_ONLY,0.9723474971437318
NOT_USED_FOR_RANKING,,5,"[93,52,92,97,102]",23,SYNTHETIC_VALIDATION_ONLY,0.8865315337476971
NOT_USED_FOR_RANKING,,5,"[93,59,77,122,174]",24,SYNTHETIC_VALIDATION_ONLY,0.9538929979063144
NOT_USED_FOR_RANKING,,5,"[93,26,58,155,158]",25,SYNTHETIC_VALIDATION_ONLY,0.9603823299495438
NOT_USED_FOR_RANKING,,5,"[93,10,102,115,129]",26,SYNTHETIC_VALIDATION_ONLY,0.9669618599362602
NOT_USED_FOR_RANKING,,5,"[93,68,85,123,130]",27,SYNTHETIC_VALIDATION_ONLY,0.9628717931897819
